epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.881,1.54443,0.81667,0.99444,0.921,0.000327044,0.000327044,0.000327044
2,31.3579,0.76044,0.87222,1,0.39509,0.00065384,0.00065384,0.00065384
3,46.1344,0.47949,0.91111,1,0.34465,0.000974035,0.000974035,0.000974035
4,60.8001,0.35368,0.90556,1,0.24188,0.0009703,0.0009703,0.0009703
5,76.0085,0.27429,0.91667,1,0.23024,0.0009604,0.0009604,0.0009604
6,90.6436,0.23757,0.95,1,0.17195,0.0009505,0.0009505,0.0009505
7,105.748,0.20207,0.93889,1,0.17135,0.0009406,0.0009406,0.0009406
8,120.552,0.18889,0.91111,1,0.20569,0.0009307,0.0009307,0.0009307
9,135.564,0.15956,0.95,0.99444,0.14913,0.0009208,0.0009208,0.0009208
10,150.938,0.14441,0.93889,1,0.16077,0.0009109,0.0009109,0.0009109
11,166.184,0.1169,0.92778,1,0.17482,0.000901,0.000901,0.000901
12,181.591,0.11172,0.96111,1,0.13261,0.0008911,0.0008911,0.0008911
13,196.973,0.11284,0.95,1,0.15375,0.0008812,0.0008812,0.0008812
14,212.173,0.11516,0.95556,1,0.16912,0.0008713,0.0008713,0.0008713
15,227.321,0.11056,0.93889,1,0.16186,0.0008614,0.0008614,0.0008614
16,242.534,0.12122,0.92778,1,0.17843,0.0008515,0.0008515,0.0008515
17,258.52,0.09887,0.93889,1,0.17889,0.0008416,0.0008416,0.0008416
18,273.482,0.08351,0.93889,1,0.18943,0.0008317,0.0008317,0.0008317
19,288.668,0.06522,0.95,1,0.12439,0.0008218,0.0008218,0.0008218
20,303.716,0.0738,0.94444,1,0.15548,0.0008119,0.0008119,0.0008119
21,318.803,0.06887,0.93889,1,0.20127,0.000802,0.000802,0.000802
22,333.694,0.08136,0.92778,1,0.21204,0.0007921,0.0007921,0.0007921
23,348.661,0.06561,0.92778,1,0.20521,0.0007822,0.0007822,0.0007822
24,363.565,0.06999,0.92222,1,0.21512,0.0007723,0.0007723,0.0007723
25,379.002,0.05198,0.92778,1,0.18305,0.0007624,0.0007624,0.0007624
26,393.879,0.06328,0.93333,1,0.1625,0.0007525,0.0007525,0.0007525
27,409.291,0.09251,0.92778,1,0.16875,0.0007426,0.0007426,0.0007426
28,424.707,0.05816,0.93889,1,0.18611,0.0007327,0.0007327,0.0007327
29,440.264,0.07738,0.95556,1,0.18182,0.0007228,0.0007228,0.0007228
30,455.701,0.07793,0.95,1,0.13218,0.0007129,0.0007129,0.0007129
31,471.761,0.0484,0.93889,1,0.17409,0.000703,0.000703,0.000703
32,487.348,0.05673,0.93889,1,0.16109,0.0006931,0.0006931,0.0006931
