epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.226,1.54254,0.8,1,0.94109,0.000327044,0.000327044,0.000327044
2,39.9897,0.76885,0.87778,1,0.41669,0.00065384,0.00065384,0.00065384
3,59.7623,0.48278,0.87778,0.99444,0.36232,0.000974035,0.000974035,0.000974035
4,79.4479,0.35734,0.90556,1,0.26734,0.0009703,0.0009703,0.0009703
5,99.1063,0.28405,0.89444,1,0.25669,0.0009604,0.0009604,0.0009604
6,118.718,0.26199,0.95,0.99444,0.18137,0.0009505,0.0009505,0.0009505
7,137.428,0.21846,0.93333,1,0.20567,0.0009406,0.0009406,0.0009406
8,155.988,0.19026,0.91111,1,0.22224,0.0009307,0.0009307,0.0009307
9,174.581,0.16466,0.90556,1,0.17837,0.0009208,0.0009208,0.0009208
10,193.068,0.11139,0.92778,1,0.1367,0.0009109,0.0009109,0.0009109
11,211.593,0.12033,0.93333,1,0.16666,0.000901,0.000901,0.000901
12,230.473,0.09383,0.93333,1,0.15131,0.0008911,0.0008911,0.0008911
13,248.957,0.13751,0.95556,1,0.10362,0.0008812,0.0008812,0.0008812
14,267.529,0.10573,0.95556,1,0.14458,0.0008713,0.0008713,0.0008713
15,286.369,0.1007,0.95556,1,0.09383,0.0008614,0.0008614,0.0008614
16,305.357,0.11545,0.91667,1,0.2416,0.0008515,0.0008515,0.0008515
17,325.769,0.08919,0.93333,1,0.16664,0.0008416,0.0008416,0.0008416
18,344.771,0.07762,0.95556,1,0.1455,0.0008317,0.0008317,0.0008317
19,363.509,0.08667,0.92778,1,0.17306,0.0008218,0.0008218,0.0008218
20,382.74,0.07523,0.92778,1,0.22483,0.0008119,0.0008119,0.0008119
21,402.067,0.07354,0.95556,1,0.14048,0.000802,0.000802,0.000802
22,421.062,0.07117,0.95,1,0.16835,0.0007921,0.0007921,0.0007921
23,440.39,0.09233,0.93333,1,0.19601,0.0007822,0.0007822,0.0007822
24,464.693,0.06924,0.92222,1,0.16906,0.0007723,0.0007723,0.0007723
25,483.925,0.06735,0.93889,1,0.2242,0.0007624,0.0007624,0.0007624
26,502.496,0.08166,0.93333,1,0.18638,0.0007525,0.0007525,0.0007525
27,520.896,0.091,0.95,1,0.23001,0.0007426,0.0007426,0.0007426
28,540.059,0.06284,0.94444,1,0.23343,0.0007327,0.0007327,0.0007327
29,558.61,0.06779,0.93889,1,0.22856,0.0007228,0.0007228,0.0007228
30,577.086,0.05696,0.95556,1,0.14349,0.0007129,0.0007129,0.0007129
31,595.665,0.0564,0.96111,1,0.14638,0.000703,0.000703,0.000703
32,614.272,0.0418,0.95556,1,0.18753,0.0006931,0.0006931,0.0006931
33,633.237,0.04802,0.93333,1,0.16218,0.0006832,0.0006832,0.0006832
34,652.474,0.05409,0.94444,1,0.16642,0.0006733,0.0006733,0.0006733
35,671.017,0.04418,0.95556,1,0.15543,0.0006634,0.0006634,0.0006634
36,691.157,0.04834,0.94444,1,0.19181,0.0006535,0.0006535,0.0006535
37,710.33,0.05602,0.94444,1,0.19122,0.0006436,0.0006436,0.0006436
38,728.781,0.05572,0.93889,1,0.22825,0.0006337,0.0006337,0.0006337
39,747.725,0.05134,0.92778,1,0.19157,0.0006238,0.0006238,0.0006238
40,766.695,0.04557,0.93889,1,0.17459,0.0006139,0.0006139,0.0006139
41,785.349,0.05339,0.93889,1,0.17825,0.000604,0.000604,0.000604
42,803.706,0.04698,0.95,1,0.17736,0.0005941,0.0005941,0.0005941
43,821.954,0.03845,0.95,1,0.18031,0.0005842,0.0005842,0.0005842
44,840.507,0.04294,0.95,1,0.161,0.0005743,0.0005743,0.0005743
45,859.116,0.04941,0.95,1,0.17952,0.0005644,0.0005644,0.0005644
46,877.341,0.02524,0.94444,1,0.21025,0.0005545,0.0005545,0.0005545
47,895.674,0.03475,0.94444,1,0.17289,0.0005446,0.0005446,0.0005446
48,914.253,0.03745,0.95556,1,0.17416,0.0005347,0.0005347,0.0005347
49,932.658,0.03406,0.95,1,0.13766,0.0005248,0.0005248,0.0005248
50,951.11,0.02964,0.93889,1,0.15312,0.0005149,0.0005149,0.0005149
51,969.715,0.04526,0.95556,1,0.13764,0.000505,0.000505,0.000505
