epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.8866,0.48485,0.96481,1,0.09819,0.000473319,0.000473319,0.000473319
2,96.7393,0.1831,0.98704,1,0.05256,0.00094025,0.00094025,0.00094025
3,139.519,0.16706,0.93519,1,0.15762,0.00139775,0.00139775,0.00139775
4,183.169,0.19332,0.96296,1,0.09998,0.00138656,0.00138656,0.00138656
5,228.478,0.16703,0.95926,1,0.08483,0.00137241,0.00137241,0.00137241
6,272.432,0.15463,0.98333,1,0.05521,0.00135826,0.00135826,0.00135826
7,316.317,0.11772,0.97407,1,0.05386,0.00134412,0.00134412,0.00134412
8,359.792,0.12365,0.98333,1,0.03563,0.00132997,0.00132997,0.00132997
9,404.518,0.11074,0.97963,1,0.05045,0.00131582,0.00131582,0.00131582
10,448.467,0.09826,0.97593,1,0.05609,0.00130168,0.00130168,0.00130168
11,492.368,0.1099,0.97593,1,0.04915,0.00128753,0.00128753,0.00128753
12,537.599,0.10811,0.98333,1,0.04222,0.00127338,0.00127338,0.00127338
13,582.788,0.09655,0.98148,1,0.04977,0.00125923,0.00125923,0.00125923
14,628.074,0.07124,0.99259,1,0.02657,0.00124509,0.00124509,0.00124509
15,673.161,0.06558,0.98148,1,0.039,0.00123094,0.00123094,0.00123094
16,718.574,0.08188,0.97963,1,0.06346,0.00121679,0.00121679,0.00121679
17,763.034,0.06819,0.98889,1,0.02125,0.00120265,0.00120265,0.00120265
18,808.027,0.06486,0.98704,1,0.04005,0.0011885,0.0011885,0.0011885
19,853.03,0.07349,0.98333,1,0.04544,0.00117435,0.00117435,0.00117435
20,897.339,0.05206,0.99074,1,0.02331,0.00116021,0.00116021,0.00116021
21,942.15,0.04696,0.97778,1,0.06559,0.00114606,0.00114606,0.00114606
22,986.331,0.07202,0.97963,1,0.04494,0.00113191,0.00113191,0.00113191
23,1030.57,0.07391,0.98148,1,0.04227,0.00111776,0.00111776,0.00111776
24,1074.06,0.05586,0.98704,1,0.02971,0.00110362,0.00110362,0.00110362
25,1118.67,0.05595,0.97963,1,0.0593,0.00108947,0.00108947,0.00108947
26,1163.17,0.05066,0.98704,1,0.03644,0.00107532,0.00107532,0.00107532
27,1208.14,0.05847,0.97778,1,0.11124,0.00106118,0.00106118,0.00106118
28,1251.98,0.0509,0.98333,1,0.04704,0.00104703,0.00104703,0.00104703
29,1295.94,0.05293,0.98519,1,0.04049,0.00103288,0.00103288,0.00103288
30,1340.45,0.0472,0.98333,1,0.03145,0.00101873,0.00101873,0.00101873
31,1385.61,0.04577,0.98333,1,0.06009,0.00100459,0.00100459,0.00100459
32,1429.8,0.05362,0.98519,1,0.04357,0.00099044,0.00099044,0.00099044
33,1475.09,0.0442,0.98889,1,0.04141,0.000976293,0.000976293,0.000976293
34,1519.71,0.04306,0.98519,1,0.04556,0.000962146,0.000962146,0.000962146
35,1564.09,0.03601,0.99074,1,0.02339,0.000947999,0.000947999,0.000947999
36,1609.54,0.03246,0.98148,1,0.05716,0.000933851,0.000933851,0.000933851
37,1654.13,0.03513,0.98519,1,0.04797,0.000919704,0.000919704,0.000919704
38,1698.84,0.0483,0.98519,1,0.04808,0.000905557,0.000905557,0.000905557
39,1744.77,0.02618,0.99074,1,0.01655,0.00089141,0.00089141,0.00089141
40,1791.1,0.04433,0.98889,1,0.03932,0.000877263,0.000877263,0.000877263
41,1840.64,0.05288,0.98889,1,0.04566,0.000863116,0.000863116,0.000863116
42,1892.46,0.03556,0.99259,1,0.02402,0.000848969,0.000848969,0.000848969
43,1938.26,0.02441,0.98519,1,0.04725,0.000834822,0.000834822,0.000834822
44,1983.23,0.02818,0.98148,1,0.05453,0.000820675,0.000820675,0.000820675
45,2029.93,0.02969,0.98889,1,0.05421,0.000806528,0.000806528,0.000806528
46,2075.52,0.04139,0.99074,1,0.0373,0.00079238,0.00079238,0.00079238
47,2122.1,0.03714,0.98704,1,0.03359,0.000778233,0.000778233,0.000778233
48,2168.55,0.02842,0.98519,1,0.0509,0.000764086,0.000764086,0.000764086
49,2215.42,0.02374,0.99074,1,0.02408,0.000749939,0.000749939,0.000749939
50,2261.92,0.02775,0.99259,1,0.01736,0.000735792,0.000735792,0.000735792
51,2309.59,0.03352,0.98704,1,0.04537,0.000721645,0.000721645,0.000721645
52,2356.16,0.01825,0.98704,1,0.05366,0.000707498,0.000707498,0.000707498
53,2401.63,0.02646,0.98704,1,0.02921,0.000693351,0.000693351,0.000693351
54,2447.85,0.02602,0.99074,1,0.01878,0.000679204,0.000679204,0.000679204
55,2494.47,0.02094,0.98704,1,0.03294,0.000665057,0.000665057,0.000665057
56,2540.85,0.02388,0.98889,1,0.03562,0.000650909,0.000650909,0.000650909
57,2587.59,0.01674,0.99259,1,0.02066,0.000636762,0.000636762,0.000636762
58,2634.82,0.01686,0.98889,1,0.05937,0.000622615,0.000622615,0.000622615
59,2684.81,0.03059,0.99074,1,0.02897,0.000608468,0.000608468,0.000608468
60,2730.19,0.02239,0.99074,1,0.03205,0.000594321,0.000594321,0.000594321
61,2776.05,0.02008,0.98519,1,0.04704,0.000580174,0.000580174,0.000580174
62,2820.8,0.01811,0.98704,1,0.04312,0.000566027,0.000566027,0.000566027
63,2865.55,0.02486,0.99444,1,0.02213,0.00055188,0.00055188,0.00055188
64,2910.81,0.01545,0.98889,1,0.03073,0.000537733,0.000537733,0.000537733
65,2958.55,0.02479,0.99074,1,0.02953,0.000523586,0.000523586,0.000523586
66,3003.85,0.0144,0.98889,1,0.05076,0.000509438,0.000509438,0.000509438
67,3049.23,0.00951,0.99074,1,0.0254,0.000495291,0.000495291,0.000495291
68,3094.67,0.01147,0.99074,1,0.02027,0.000481144,0.000481144,0.000481144
69,3141.14,0.00923,0.99074,1,0.01786,0.000466997,0.000466997,0.000466997
70,3187.04,0.0133,0.99074,1,0.0211,0.00045285,0.00045285,0.00045285
71,3233.78,0.01468,0.99259,1,0.01146,0.000438703,0.000438703,0.000438703
72,3280.34,0.01332,0.99074,1,0.02197,0.000424556,0.000424556,0.000424556
