epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.8182,1.54805,0.77778,0.99444,0.94488,0.000327044,0.000327044,0.000327044
2,37.93,0.77103,0.85,1,0.46468,0.00065384,0.00065384,0.00065384
3,54.0338,0.53742,0.88889,1,0.40051,0.000974035,0.000974035,0.000974035
4,70.1169,0.39638,0.90556,1,0.30239,0.0009703,0.0009703,0.0009703
5,86.7835,0.29649,0.89444,1,0.27318,0.0009604,0.0009604,0.0009604
6,104.234,0.28208,0.92778,1,0.24676,0.0009505,0.0009505,0.0009505
7,120.48,0.19978,0.91667,1,0.25457,0.0009406,0.0009406,0.0009406
8,136.975,0.21924,0.93333,1,0.18909,0.0009307,0.0009307,0.0009307
9,153.547,0.18853,0.93333,1,0.18176,0.0009208,0.0009208,0.0009208
10,168.963,0.19406,0.90556,1,0.24735,0.0009109,0.0009109,0.0009109
11,184.284,0.16124,0.93333,1,0.18144,0.000901,0.000901,0.000901
12,199.72,0.15686,0.94444,1,0.14621,0.0008911,0.0008911,0.0008911
13,215.273,0.1229,0.94444,1,0.15866,0.0008812,0.0008812,0.0008812
14,230.235,0.12713,0.94444,1,0.19435,0.0008713,0.0008713,0.0008713
15,245.851,0.14322,0.91667,1,0.18315,0.0008614,0.0008614,0.0008614
16,261.189,0.14509,0.92778,1,0.18514,0.0008515,0.0008515,0.0008515
17,277.109,0.11736,0.93889,1,0.15193,0.0008416,0.0008416,0.0008416
18,292.516,0.13474,0.92778,1,0.19272,0.0008317,0.0008317,0.0008317
19,307.672,0.07525,0.92222,1,0.21978,0.0008218,0.0008218,0.0008218
20,323.237,0.10969,0.95,1,0.17439,0.0008119,0.0008119,0.0008119
21,339.114,0.09875,0.96111,1,0.15611,0.000802,0.000802,0.000802
22,354.634,0.11379,0.90556,1,0.22966,0.0007921,0.0007921,0.0007921
23,370.37,0.06081,0.91667,1,0.27314,0.0007822,0.0007822,0.0007822
24,385.37,0.0793,0.93333,1,0.24463,0.0007723,0.0007723,0.0007723
25,400.696,0.07941,0.92778,1,0.2386,0.0007624,0.0007624,0.0007624
26,415.851,0.07761,0.93333,1,0.19828,0.0007525,0.0007525,0.0007525
27,431.155,0.07814,0.93889,1,0.18674,0.0007426,0.0007426,0.0007426
28,446.346,0.06353,0.93889,1,0.21763,0.0007327,0.0007327,0.0007327
29,461.857,0.0892,0.93333,1,0.23399,0.0007228,0.0007228,0.0007228
30,476.759,0.08445,0.95556,1,0.18112,0.0007129,0.0007129,0.0007129
31,492.308,0.0868,0.93889,1,0.26647,0.000703,0.000703,0.000703
32,507.707,0.06176,0.92778,1,0.20809,0.0006931,0.0006931,0.0006931
33,523.405,0.0797,0.93889,1,0.20654,0.0006832,0.0006832,0.0006832
34,538.403,0.05629,0.93889,1,0.19701,0.0006733,0.0006733,0.0006733
35,554.188,0.07784,0.96667,1,0.15054,0.0006634,0.0006634,0.0006634
36,569.436,0.0577,0.93889,1,0.17188,0.0006535,0.0006535,0.0006535
37,585.075,0.05009,0.96111,1,0.15568,0.0006436,0.0006436,0.0006436
38,600.03,0.0662,0.95556,1,0.22293,0.0006337,0.0006337,0.0006337
39,615.468,0.0972,0.95,1,0.17901,0.0006238,0.0006238,0.0006238
40,631.071,0.08465,0.95556,1,0.18347,0.0006139,0.0006139,0.0006139
41,647.146,0.06665,0.95556,1,0.21021,0.000604,0.000604,0.000604
42,662.51,0.04224,0.96111,1,0.21549,0.0005941,0.0005941,0.0005941
43,678.815,0.04498,0.95,1,0.26297,0.0005842,0.0005842,0.0005842
44,695.396,0.04361,0.96111,1,0.22172,0.0005743,0.0005743,0.0005743
45,711.395,0.05615,0.93889,1,0.23082,0.0005644,0.0005644,0.0005644
46,727.552,0.04955,0.93889,1,0.24092,0.0005545,0.0005545,0.0005545
47,743.135,0.03832,0.95,1,0.22594,0.0005446,0.0005446,0.0005446
48,758.992,0.04907,0.94444,1,0.20692,0.0005347,0.0005347,0.0005347
49,775.118,0.05879,0.95,1,0.20685,0.0005248,0.0005248,0.0005248
50,791.234,0.04021,0.95,1,0.22557,0.0005149,0.0005149,0.0005149
51,807.324,0.0509,0.94444,1,0.20048,0.000505,0.000505,0.000505
52,823.374,0.04011,0.96111,1,0.19578,0.0004951,0.0004951,0.0004951
53,839.309,0.05476,0.95,1,0.21146,0.0004852,0.0004852,0.0004852
54,854.827,0.06091,0.95,1,0.19481,0.0004753,0.0004753,0.0004753
55,870.611,0.0404,0.93333,1,0.28928,0.0004654,0.0004654,0.0004654
56,886.414,0.04114,0.93333,1,0.28775,0.0004555,0.0004555,0.0004555
57,901.938,0.0519,0.94444,1,0.21826,0.0004456,0.0004456,0.0004456
